category,brand,family_key,model,model_year,device_line,chip_family,storage_options,carrier_status,default_condition,source_sheet,base_price_usd,fair_price_from_sheet_cad,maximum_buy_price_cad,max_listing_price_to_alert_cad,condition_prices_usd,deduction_rules_usd,aliases,notes
pixel,google,google_pixel_7_a__carrier_locked,google pixel 7 a,,,,,carrier_locked,ab_grade,Pixel Master,30.00,42.00,33.60,36.96,"{""ab_grade"":30.0,""c"":10.0,""d"":10.0,""doa"":5.0,""new"":60.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":10.0},""demo"":{""kind"":""flat_usd"",""value"":20.0}}",google pixel 7 a|google pixel 7 a carrier locked|google pixel 7 a locked|pixel 7 a,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_7_a__unlocked,google pixel 7 a,,,,,unlocked,b_plus,Pixel Master,10.00,14.00,11.20,12.32,"{""a"":10.0,""b_plus"":10.0,""open"":30.0,""sealed"":60.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",google pixel 7 a|google pixel 7 a unlocked|pixel 7 a,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_7_pro__carrier_locked,google pixel 7 pro,,,,,carrier_locked,ab_grade,Pixel Master,40.00,56.00,44.80,49.28,"{""ab_grade"":40.0,""c"":30.0,""d"":20.0,""doa"":10.0,""new"":80.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":10.0},""demo"":{""kind"":""flat_usd"",""value"":20.0}}",7 pro|google pixel 7 pro|google pixel 7 pro carrier locked|google pixel 7 pro locked|pixel 7 pro,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_7_pro__unlocked,google pixel 7 pro,,,,,unlocked,b_plus,Pixel Master,20.00,28.00,22.40,24.64,"{""a"":30.0,""b_plus"":20.0,""open"":40.0,""sealed"":80.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",7 pro|google pixel 7 pro|google pixel 7 pro unlocked|pixel 7 pro,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_8__carrier_locked,google pixel 8,,,,,carrier_locked,ab_grade,Pixel Master,40.00,56.00,44.80,49.28,"{""ab_grade"":40.0,""c"":20.0,""d"":15.0,""doa"":10.0,""new"":80.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":15.0},""demo"":{""kind"":""flat_usd"",""value"":25.0}}",google pixel 8|google pixel 8 carrier locked|google pixel 8 locked|pixel 8,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_8_a__carrier_locked,google pixel 8 a,,,,,carrier_locked,ab_grade,Pixel Master,50.00,70.00,56.00,61.60,"{""ab_grade"":50.0,""c"":20.0,""d"":15.0,""doa"":10.0,""new"":110.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":15.0},""demo"":{""kind"":""flat_usd"",""value"":20.0}}",google pixel 8 a|google pixel 8 a carrier locked|google pixel 8 a locked|pixel 8 a,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_8_a__unlocked,google pixel 8 a,,,,,unlocked,b_plus,Pixel Master,15.00,21.00,16.80,18.48,"{""a"":20.0,""b_plus"":15.0,""open"":50.0,""sealed"":110.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",google pixel 8 a|google pixel 8 a unlocked|pixel 8 a,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_8_fold__carrier_locked,google pixel 8 fold,,,,,carrier_locked,ab_grade,Pixel Master,80.00,112.00,89.60,98.56,"{""ab_grade"":80.0,""c"":30.0,""d"":20.0,""doa"":10.0,""new"":140.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":20.0},""demo"":{""kind"":""flat_usd"",""value"":50.0}}",8 fold|google pixel 8 fold|google pixel 8 fold carrier locked|google pixel 8 fold locked|pixel 8 fold,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
pixel,google,google_pixel_8_fold__unlocked,google pixel 8 fold,,,,,unlocked,b_plus,Pixel Master,20.00,28.00,22.40,24.64,"{""a"":30.0,""b_plus"":20.0,""open"":80.0,""sealed"":140.0}","{""damage_or_demo"":{""kind"":""manual"",""reason"":""ask""}}",8 fold|google pixel 8 fold|google pixel 8 fold unlocked|pixel 8 fold,Unlocked Pixel sheet uses B+ as the default used condition.
pixel,google,google_pixel_8_pro__carrier_locked,google pixel 8 pro,,,,,carrier_locked,ab_grade,Pixel Master,90.00,126.00,100.80,110.88,"{""ab_grade"":90.0,""c"":50.0,""d"":20.0,""doa"":10.0,""new"":160.0}","{""cracked_back"":{""kind"":""flat_usd"",""value"":20.0},""demo"":{""kind"":""flat_usd"",""value"":40.0}}",8 pro|google pixel 8 pro|google pixel 8 pro carrier locked|google pixel 8 pro locked|pixel 8 pro,Carrier-locked Pixel sheet uses A/B grade as the default used condition.
